PROPERTY_ID,ZIP,PRICE,year,quarter,bathrooms,bedrooms,YR_BLT,SQFT
38623671,90621,127500,1998,1,1,2,1947,794
38623671,90621,333000,2004,1,1,2,1947,794
38623671,90621,374000,2004,4,1,2,1947,794
38623672,90621,137000,1998,3,1,2,1947,825
38623672,90621,310000,2009,2,1,2,1947,825
38623675,90621,127000,1993,2,1,3,1947,991
38623680,90621,149000,1995,2,1,3,1947,985
38623683,90621,169000,2000,1,1,3,1947,991
38623684,90621,155000,1994,3,1,3,1947,1341
38623684,90621,147500,1998,4,1,3,1947,1341
38623687,90621,302000,2003,4,1,3,1947,991
38623688,90621,505000,2005,4,1,2,1947,832
38623688,90621,325000,2008,1,1,2,1947,832
38623690,90621,170000,1999,3,1,2,1947,1146
38623690,90621,290000,2003,1,1,2,1947,1146
38623692,90621,190000,1999,2,3,4,1947,1225
38623692,90621,208000,2001,1,3,4,1947,1225
38623693,90621,162500,1992,1,0,0,.,0
38623693,90621,173000,2000,3,0,0,.,0
38623694,90621,173000,1999,4,0,0,.,0
38623695,90621,461000,2005,2,1,3,1947,991
38623696,90621,263000,2002,2,3,3,1947,1469
38623696,90621,332500,2009,2,3,3,1947,1469
38623699,90621,159000,1993,1,3,3,1947,1340
38623700,90621,147000,1997,3,1,3,1947,985
38623700,90621,167500,1999,2,1,3,1947,985
38623703,90621,120000,1995,1,1,2,1947,825
38623703,90621,198000,2000,2,1,2,1947,825
38623704,90621,540000,2005,3,3,4,1947,1232
38623705,90621,530000,2006,4,3,4,1947,1403
38623706,90621,319500,2004,1,1,3,1947,985
38623708,90621,150000,1995,1,1,2,1947,1085
38623709,90621,150000,1998,2,1,2,1947,991
38623711,90621,180000,2000,4,1,2,1947,794
38623712,90621,219000,2002,1,1,3,1947,1177
38623713,90621,157000,1993,2,2,3,1947,1279
38623715,90621,375000,2008,4,3,3,1947,1656
38623716,90621,515000,2006,2,1,3,1947,985
38623717,90621,400000,2008,1,1,3,1947,991
38623719,90621,158000,2000,2,1,2,1947,794
38623722,90621,180000,1991,1,1,3,1947,985
38623722,90621,270000,2002,4,1,3,1947,985
38623722,90621,470000,2005,3,1,3,1947,985
38623724,90621,166500,1992,1,1,2,1947,1294
38623724,90621,140000,1998,4,1,2,1947,1294
38623724,90621,240000,2007,4,1,2,1947,1294
38623724,90621,400000,2008,2,1,2,1947,1294
38623725,90621,293500,2003,3,1,3,1947,991
38623726,90621,205000,2001,1,1,3,1947,985
38623726,90621,225000,2001,4,1,3,1947,985
38623727,90621,150000,1993,4,1,3,1947,1193
38623730,90621,135000,1997,1,1,3,1947,985
38623731,90621,215000,1995,1,1,3,1947,1390
38623732,90621,148000,2000,3,1,3,1947,985
38623732,90621,267000,2002,4,1,3,1947,985
38623733,90621,345000,1991,2,1,3,1947,991
38623734,90621,140000,1997,2,1,3,1947,991
38623736,90621,164000,1991,4,1,2,1947,794
38623737,90621,389000,2004,4,1,3,1947,985
38623739,90621,129000,1995,1,1,2,1947,825
38623739,90621,306000,2004,2,1,2,1947,825
38623740,90621,143000,1994,4,1,2,1947,832
38623740,90621,420000,2004,4,1,2,1947,832
38623746,90621,500000,2006,3,1,3,1947,1045
38623747,90621,145000,1999,2,1,2,1947,794
38623748,90621,528000,2006,1,2,3,1947,1254
38623750,90621,165000,1991,3,1,2,1947,794
38623750,90621,268000,2002,4,1,2,1947,794
38623750,90621,420000,2004,4,1,2,1947,794
38623750,90621,310000,2008,4,1,2,1947,794
38623751,90621,145000,1994,2,1,3,1947,991
38623752,90621,99000,1999,2,1,3,1947,1139
38623752,90621,167000,1999,3,1,3,1947,1139
38623757,90621,129000,1997,2,1,3,1947,985
38623758,90621,149000,1998,2,1,3,1947,985
38623758,90621,271500,2002,4,1,3,1947,985
38623759,90621,130000,1993,3,1,2,1947,825
38623759,90621,102000,1997,4,1,2,1947,825
38623759,90621,139000,1998,1,1,2,1947,825
38623759,90621,275000,2003,2,1,2,1947,825
38623760,90621,150000,1992,2,1,2,1947,832
38623760,90621,265000,2002,4,1,2,1947,832
38623760,90621,420000,2005,4,1,2,1947,832
38623761,90621,138000,1997,3,1,3,1947,991
38623764,90621,135000,1994,2,1,2,1947,825
38623766,90621,156000,1991,4,1,3,1947,985
38623766,90621,165000,1999,3,1,3,1947,985
38623767,90621,145000,1998,4,1,3,1947,991
38623768,90621,165000,1995,3,3,3,1947,1451
38623769,90621,160000,1999,1,1,3,1947,985
38623770,90621,159000,1992,2,1,3,1947,985
38623770,90621,550000,2006,1,1,3,1947,985
38623770,90621,435000,2007,3,1,3,1947,985
38623772,90621,149000,1993,3,1,2,1947,1133
38623773,90621,137500,1994,1,1,2,1947,794
38623775,90621,182000,2002,3,1,3,1947,991
38623775,90621,251500,2002,4,1,3,1947,991
38623779,90621,400000,2007,3,1,2,1947,832
38623780,90621,211000,2001,4,1,3,1947,985
38623782,90621,525000,2005,4,1,3,1947,985
38623782,90621,390000,2007,4,1,3,1947,985
38623785,90621,182000,1999,3,2,3,1947,1381
38623786,90621,200000,2002,4,3,2,1947,1528
38623786,90621,555000,2006,4,3,2,1947,1528
38623786,90621,410000,2008,2,3,2,1947,1528
38623788,90621,155000,1993,3,1,3,1947,991
38623788,90621,140500,1998,2,1,3,1947,991
38623789,90621,370000,2004,2,1,3,1947,991
38623791,90621,159000,1993,2,1,3,1947,985
38623791,90621,415000,2004,3,1,3,1947,985
38623791,90621,450000,2005,1,1,3,1947,985
38623791,90621,327000,2008,3,1,3,1947,985
38623793,90621,200000,1999,3,3,3,1947,1611
38623793,90621,277000,2002,2,3,3,1947,1611
38623793,90621,300000,2002,4,3,3,1947,1611
38623794,90621,147000,1992,4,1,3,1947,985
38623795,90621,181000,1991,2,1,3,1947,997
38623795,90621,123500,1996,4,1,3,1947,997
38623795,90621,143000,1999,2,1,3,1947,997
38623795,90621,466000,2005,3,1,3,1947,997
38623795,90621,534000,2006,1,1,3,1947,997
38623796,90621,144000,1992,4,1,3,1947,1088
38623797,90621,320000,2008,3,1,3,1947,985
38623800,90621,118000,1997,4,1,2,1947,825
38623800,90621,162000,2000,2,1,2,1947,825
38623800,90621,435000,2005,2,1,2,1947,825
38623802,90621,130000,1995,1,1,2,1947,794
38623807,90621,158000,1999,1,3,3,1947,1344
38623807,90621,435000,2004,3,3,3,1947,1344
38623808,90621,130000,1996,4,1,3,1947,985
38623810,90621,376000,2004,2,1,2,1947,825
38623810,90621,425000,2005,1,1,2,1947,825
38623811,90621,389000,2004,4,1,2,1947,832
38623813,90621,157000,1996,1,2,3,1947,1484
38623815,90621,131000,1994,2,1,2,1947,825
38623815,90621,415000,2004,4,1,2,1947,825
38623815,90621,501000,2007,2,1,2,1947,825
38623816,90621,340000,2003,1,1,3,1947,985
38623818,90621,172000,2000,3,1,2,1949,1177
38623818,90621,555000,2008,3,1,2,1949,1177
38623819,90621,110000,1999,3,1,4,1949,2026
38623826,90621,385000,2003,3,1,3,1951,1252
38623826,90621,615000,2007,4,1,3,1951,1252
38623827,90621,179500,1999,1,3,3,1950,2038
38623827,90621,785000,2006,4,3,3,1950,2038
38623829,90621,150000,1994,4,3,2,1951,1506
38623834,90621,255000,2001,1,1,2,1952,1621
38623834,90621,608000,2006,3,1,2,1952,1621
38623836,90621,469000,2005,4,1,2,1954,964
38623837,90621,129000,1993,3,1,2,1954,872
38623837,90621,290000,2003,2,1,2,1954,872
38623837,90621,400000,2004,1,1,2,1954,872
38623839,90621,412000,2003,1,1,2,1950,1906
38623839,90621,525000,2003,3,1,2,1950,1906
38623839,90621,900000,2006,3,1,2,1950,1906
38623840,90621,173000,2001,4,1,2,1922,1346
38623840,90621,490000,2005,4,1,2,1922,1346
38623840,90621,529000,2006,1,1,2,1922,1346
38623853,90621,157500,2000,1,1,2,1950,1467
38623854,90621,135000,1995,2,1,2,1950,1199
38623855,90621,670000,2006,3,1,3,1946,1518
38623857,90621,425000,2004,1,1,2,1951,1525
38623859,90621,209500,2001,1,3,4,1952,1317
38623861,90621,267000,2000,4,1,3,1952,1110
38623861,90621,610000,2005,3,1,3,1952,1110
38623866,90621,63000,2001,1,1,2,1955,1006
38623872,90621,163000,2002,1,1,2,1957,912
38623876,90621,262000,2003,2,2,3,1957,1138
38623887,90621,200000,2002,3,0,0,1940,1409
38623889,90621,454000,2005,4,1,2,1946,756
38623889,90621,460000,2007,1,1,2,1946,756
38623889,90621,400000,2008,1,1,2,1946,756
38623892,90621,126500,1996,2,1,3,1947,1050
38623892,90621,390000,2008,1,1,3,1947,1050
38623893,90621,130000,1996,2,1,3,1912,871
38623893,90621,180000,1998,2,1,3,1912,871
38623903,90621,115000,2000,2,1,2,1928,896
38623903,90621,150000,2000,4,1,2,1928,896
38623903,90621,320000,2004,1,1,2,1928,896
38623903,90621,368000,2004,3,1,2,1928,896
38623904,90621,318636,2003,4,1,2,1928,1144
38623904,90621,380000,2004,2,1,2,1928,1144
38623904,90621,520000,2006,4,1,2,1928,1144
38623907,90621,375000,2004,2,1,0,1926,708
38623908,90621,150000,1992,4,12,9,.,1598
38623909,90621,110000,1997,4,1,2,1929,1290
38623909,90621,366500,2004,2,1,2,1929,1290
38623911,90621,175000,2000,3,1,2,1940,1073
38623912,90621,135000,1998,1,1,3,1912,1154
